date,tmax_f,source
2022-05-31,94.70,open_meteo_gfs_seamless_historical_forecast
2022-06-01,68.30,open_meteo_gfs_seamless_historical_forecast
2022-06-02,78.00,open_meteo_gfs_seamless_historical_forecast
2022-06-03,75.80,open_meteo_gfs_seamless_historical_forecast
2022-06-04,80.80,open_meteo_gfs_seamless_historical_forecast
2022-06-05,77.80,open_meteo_gfs_seamless_historical_forecast
2022-06-06,81.60,open_meteo_gfs_seamless_historical_forecast
2022-06-07,77.90,open_meteo_gfs_seamless_historical_forecast
2022-06-08,84.20,open_meteo_gfs_seamless_historical_forecast
2022-06-09,84.80,open_meteo_gfs_seamless_historical_forecast
2022-06-10,80.00,open_meteo_gfs_seamless_historical_forecast
2022-06-11,76.80,open_meteo_gfs_seamless_historical_forecast
2022-06-12,71.60,open_meteo_gfs_seamless_historical_forecast
2022-06-13,84.30,open_meteo_gfs_seamless_historical_forecast
2022-06-14,83.20,open_meteo_gfs_seamless_historical_forecast
2022-06-15,81.90,open_meteo_gfs_seamless_historical_forecast
2022-06-16,69.20,open_meteo_gfs_seamless_historical_forecast
2022-06-17,91.10,open_meteo_gfs_seamless_historical_forecast
2022-06-18,75.90,open_meteo_gfs_seamless_historical_forecast
2022-06-19,73.50,open_meteo_gfs_seamless_historical_forecast
2022-06-20,80.00,open_meteo_gfs_seamless_historical_forecast
2022-06-21,79.30,open_meteo_gfs_seamless_historical_forecast
2022-06-22,66.50,open_meteo_gfs_seamless_historical_forecast
2022-06-23,73.00,open_meteo_gfs_seamless_historical_forecast
2022-06-24,81.30,open_meteo_gfs_seamless_historical_forecast
2022-06-25,90.90,open_meteo_gfs_seamless_historical_forecast
2022-06-26,89.30,open_meteo_gfs_seamless_historical_forecast
2022-06-27,78.00,open_meteo_gfs_seamless_historical_forecast
2022-06-28,78.80,open_meteo_gfs_seamless_historical_forecast
2022-06-29,85.10,open_meteo_gfs_seamless_historical_forecast
2022-06-30,87.40,open_meteo_gfs_seamless_historical_forecast
2022-07-01,93.00,open_meteo_gfs_seamless_historical_forecast
2022-07-02,88.80,open_meteo_gfs_seamless_historical_forecast
2022-07-03,90.50,open_meteo_gfs_seamless_historical_forecast
2022-07-04,85.60,open_meteo_gfs_seamless_historical_forecast
2022-07-05,86.40,open_meteo_gfs_seamless_historical_forecast
2022-07-06,85.70,open_meteo_gfs_seamless_historical_forecast
2022-07-07,82.10,open_meteo_gfs_seamless_historical_forecast
2022-07-08,84.00,open_meteo_gfs_seamless_historical_forecast
2022-07-09,84.80,open_meteo_gfs_seamless_historical_forecast
2022-07-10,82.70,open_meteo_gfs_seamless_historical_forecast
2022-07-11,83.80,open_meteo_gfs_seamless_historical_forecast
2022-07-12,91.50,open_meteo_gfs_seamless_historical_forecast
2022-07-13,91.10,open_meteo_gfs_seamless_historical_forecast
2022-07-14,86.20,open_meteo_gfs_seamless_historical_forecast
